,0
0,PV
1,PV
2,PV
3,PV
4,PV
5,PV
6,PV
7,PV
8,PV
9,PV
10,PV
11,PV
12,PV
13,PV
14,PV
15,PV
16,PV
17,PV
18,PV
19,PV
20,PV
21,PV
22,PV
23,PV
24,PV
25,PV
26,PV
27,PV
28,PV
29,PV
30,PV
31,PV
32,PV
33,PV
34,PV
35,PV
36,PV
37,PV
38,PV
39,PV
40,PV
41,PV
42,PV
43,PV
44,PV
45,PV
46,PV
47,PV
48,PV
49,PV
50,PV
51,PV
52,PV
53,PV
54,PV
55,PV
56,PV
57,PV
58,PV
59,PV
60,PV
61,PV
62,PV
63,PV
64,PV
65,PV
66,PV
67,PV
68,PV
69,PV
70,PV
71,PV
72,PV
73,PV
74,PV
75,PV
76,PV
77,PV
78,PV
79,PV
80,PV
81,PV
82,PV
83,PV
84,PV
85,PV
86,PV
87,PV
88,PV
89,PV
90,PV
91,PV
92,Pyra
93,Pyra
94,Pyra
95,Pyra
96,Pyra
97,Pyra
98,Pyra
99,Pyra
100,Pyra
101,Pyra
102,Pyra
103,Pyra
104,Pyra
105,Pyra
106,Pyra
107,Pyra
108,Pyra
109,Pyra
110,Pyra
111,Pyra
112,Pyra
113,Pyra
114,Pyra
115,Pyra
116,Pyra
117,Pyra
118,Pyra
119,Pyra
120,Pyra
121,Pyra
122,Pyra
123,Pyra
124,Pyra
125,Pyra
126,Pyra
127,Pyra
128,Pyra
129,Pyra
130,Pyra
131,Pyra
132,Pyra
133,Pyra
134,Pyra
135,Pyra
136,PV
137,PV
138,PV
139,PV
140,PV
141,PV
142,PV
143,PV
144,PV
145,PV
146,PV
147,PV
148,PV
149,PV
150,PV
151,PV
152,PV
153,PV
154,PV
155,PV
156,PV
157,PV
158,PV
159,PV
160,PV
161,PV
162,PV
163,PV
164,PV
165,PV
166,PV
167,PV
168,PV
169,PV
170,PV
171,SST
172,SST
173,SST
174,SST
175,SST
176,PV
177,PV
178,PV
179,PV
180,PV
181,PV
182,PV
183,VIP
184,VIP
185,VIP
186,SST
187,SST
188,SST
189,SST
190,PV
191,SST
192,SST
193,SST
194,SST
195,SST
196,SST
197,SST
198,SST
199,SST
200,SST
201,SST
202,SST
203,SST
204,SST
205,SST
206,SST
207,SST
208,SST
209,SST
210,SST
211,SST
212,SST
213,SST
214,SST
215,SST
216,SST
217,VIP
218,VIP
219,VIP
220,VIP
221,SST
222,SST
223,SST
224,SST
225,SST
226,SST
227,SST
228,SST
229,SST
230,SST
231,SST
232,SST
233,SST
234,SST
235,SST
236,SST
237,SST
238,SST
239,SST
240,SST
241,SST
242,SST
243,SST
244,SST
245,SST
246,SST
247,SST
248,SST
249,SST
250,SST
251,SST
252,SST
253,SST
254,SST
255,SST
256,PV
257,PV
258,PV
259,PV
260,PV
261,PV
262,PV
263,PV
264,PV
265,PV
266,PV
267,PV
268,PV
269,PV
270,PV
271,PV
272,PV
273,PV
274,PV
275,PV
276,PV
277,PV
278,PV
279,PV
280,PV
281,PV
282,PV
283,VIP
284,VIP
285,VIP
286,VIP
287,VIP
288,VIP
289,SST
290,SST
291,SST
292,SST
293,SST
294,SST
295,SST
296,SST
297,SST
298,SST
299,SST
300,SST
301,SST
302,SST
303,SST
304,SST
305,SST
306,SST
307,SST
308,SST
309,SST
310,SST
311,SST
312,SST
313,SST
314,VIP
315,SST
316,SST
317,SST
318,SST
319,SST
320,SST
321,SST
322,SST
323,SST
324,SST
325,SST
326,SST
327,SST
328,SST
329,SST
330,SST
331,SST
332,SST
333,SST
334,SST
335,PV
336,PV
337,PV
338,PV
339,PV
340,PV
341,PV
342,PV
343,PV
344,PV
345,PV
346,PV
347,PV
348,PV
349,PV
350,PV
351,PV
352,PV
353,PV
354,PV
355,PV
356,PV
357,PV
358,PV
359,PV
360,PV
361,PV
362,PV
363,PV
364,PV
365,PV
366,PV
367,PV
368,PV
369,PV
370,PV
371,PV
372,PV
373,PV
374,PV
375,PV
376,PV
377,PV
378,PV
379,PV
380,PV
381,PV
382,PV
383,PV
384,PV
385,PV
386,PV
387,PV
388,PV
389,PV
390,PV
391,PV
