,pred,true
0,POL,DG
1,CA1,CA1
2,LGd,VISpm
3,grey,grey
4,VISp,VISl
5,grey,grey
6,VIS,VISp
7,VIS,CA1
8,CA1,CA1
9,VISrl,VISrl
10,CA1,VISp
11,CA1,VISp
12,CA1,SUB
13,VISam,VISam
14,CA1,CA1
15,VISal,VISal
16,DG,DG
17,VISpm,DG
18,LP,CA1
19,NOT,CA3
20,LGd,LGd
21,SGN,VISal
22,grey,grey
23,CA1,VISl
24,CA1,VISl
25,CA1,VIS
26,VISmma,MGm
27,LGd,VISpm
28,DG,DG
29,CA1,CA1
30,CA3,grey
31,LGd,grey
32,VISp,CA1
33,CA1,CA1
34,CA1,VISp
35,grey,grey
36,CA1,CA1
37,DG,DG
38,CA1,CA1
39,VISrl,APN
40,CA1,CA1
41,APN,PO
42,VISam,VISam
43,DG,DG
44,LP,grey
45,DG,VISal
46,VISal,VISal
47,LP,VISrl
48,APN,VISpm
49,VISam,VISam
50,CA1,CA1
51,POL,POL
52,CA3,LP
53,grey,grey
54,CA1,CA1
55,DG,VISrl
56,VISam,VIS
57,CA1,CA1
58,CA1,VISam
59,VISrl,VISrl
60,APN,VISrl
61,CA1,CA1
62,LP,LP
63,DG,VISpm
64,APN,APN
65,grey,CA3
66,grey,grey
67,grey,CA3
68,CA1,CA1
69,CA3,CA1
70,DG,DG
71,grey,VISrl
72,CA3,SUB
73,VISam,CA1
74,SGN,VISal
75,VISp,VISp
76,CA1,VISp
77,CA1,CA1
78,APN,VISpm
79,grey,grey
80,Eth,SUB
81,CA1,CA1
82,CA1,VISp
83,grey,grey
84,CA1,VISl
85,LGd,LP
86,grey,grey
87,APN,APN
88,VISam,VISli
89,grey,grey
90,APN,VISpm
91,VISrl,CA3
92,VISal,VISal
93,LGd,LGd
94,grey,grey
95,LGd,LGd
96,grey,CA3
97,LGd,LGd
98,NOT,SUB
99,CA1,VIS
100,grey,grey
101,grey,grey
102,MGm,ProS
103,DG,POL
104,VIS,CA1
105,DG,MB
106,NOT,SUB
107,DG,DG
108,VISp,CA1
109,DG,DG
110,CA1,VISam
111,CA1,VISp
112,VISal,SGN
113,CA3,VISrl
114,VIS,CA1
115,APN,APN
116,grey,grey
117,grey,grey
118,CA1,CA1
119,grey,grey
120,grey,grey
121,VISal,VISal
122,APN,MGv
123,CA1,VISp
124,VISal,VISal
125,LP,LP
126,LP,LGd
127,VISpm,VISpm
128,CA1,VISp
129,LGd,LGd
130,CA1,SUB
131,CA3,ProS
132,VISrl,VISrl
133,VISrl,APN
134,VIS,CA1
135,CA1,VISp
136,CA1,VISl
137,VISrl,VISpm
138,VISal,SGN
139,CA1,CA1
140,CA1,CA1
141,CA1,VISp
142,VISam,VISam
143,LGd,LGd
144,CA3,VISrl
145,grey,grey
146,grey,grey
147,CA3,CA3
148,CA1,CA1
149,LGd,LGd
150,grey,grey
151,DG,DG
152,CA1,VISp
153,VISpm,APN
154,CA1,VISp
155,VISp,CA1
156,DG,MGv
157,LP,grey
158,VISp,VISam
159,CA1,NOT
160,LGd,MB
161,VISal,VISal
162,CA1,VISp
163,CA1,VIS
164,CA1,CA1
165,VISrl,grey
166,grey,grey
167,DG,DG
168,CA1,CA1
169,VISam,CA1
170,VISam,VISam
171,VISp,CA1
172,VISal,SGN
173,LGd,VISrl
174,VISp,CA1
175,VISp,CA1
176,VISam,VISam
177,VISpm,VISpm
178,DG,DG
179,CA1,CA1
180,CA1,VISrl
181,VISp,VISmma
182,grey,grey
183,DG,DG
184,LGd,LGd
185,VISrl,APN
186,CA1,VIS
187,grey,grey
188,APN,APN
189,grey,grey
190,DG,DG
191,grey,grey
192,DG,DG
193,SUB,Eth
194,VISal,VISal
195,CA1,CA1
196,LGd,grey
197,LP,LP
198,APN,LP
199,DG,DG
200,CA1,VISam
201,LGd,LP
202,VISrl,APN
203,VISp,VISam
204,CA1,VISrl
205,grey,APN
206,grey,grey
207,CA1,VISp
208,VISp,SUB
209,LP,VISrl
210,APN,SUB
211,CA1,VISli
212,DG,DG
213,CA1,VISp
214,VISal,VISal
215,CA1,CA1
216,grey,grey
217,VISp,CA1
218,VIS,VISl
219,CA1,SUB
220,VISam,ProS
221,CA3,CA3
222,DG,DG
223,CA1,CA1
224,APN,CA3
225,APN,VISpm
226,LGd,LGd
227,APN,VISpm
228,CA1,VISp
229,VISp,CA1
230,VISam,CA1
231,CA1,SUB
232,CA1,VISp
233,LP,LP
234,grey,grey
235,CA1,CA1
236,CA1,PPT
237,grey,grey
238,CA1,VISp
239,VISam,CA1
240,CA1,CA1
241,CA1,CA1
242,grey,grey
243,CA1,VISp
244,VISp,CA1
245,CA1,CA1
246,APN,APN
247,VISal,VISal
248,VISpm,VISpm
249,CA1,VISp
250,CA1,CA1
251,CA1,LP
252,grey,grey
253,grey,grey
254,CA1,VIS
255,grey,grey
256,APN,VISpm
257,VISp,VISp
258,CA1,VIS
259,CA1,CA1
260,VISp,VISp
261,VISrl,APN
262,VISpm,VISrl
263,VISp,VPM
264,grey,grey
265,grey,grey
266,grey,grey
267,grey,grey
268,SCig,SUB
269,grey,grey
270,DG,DG
271,grey,grey
272,LP,MB
273,APN,NOT
274,VISal,VISal
275,CA1,VIS
276,grey,grey
277,CA1,CA1
278,DG,VISal
279,CA1,CA1
280,LP,LP
281,VIS,VIS
282,VIS,VIS
283,VISp,VISp
284,CA1,CA1
285,CA1,VISp
286,MGd,VISam
287,grey,CA3
288,MGv,MGv
289,CA1,VISl
290,CA3,LP
291,CA1,CA1
292,grey,grey
293,CA1,VISal
294,PO,PO
295,VISpm,DG
296,CA1,CA1
297,CA1,VISl
298,CA1,VISl
299,grey,grey
300,APN,APN
301,LGd,VISam
302,CA1,VIS
303,MGv,LP
304,VISrl,LP
305,VISp,CA1
306,APN,APN
307,grey,LP
308,VISp,VISp
309,grey,CA3
310,CA1,VISp
311,VISmma,VISp
312,CA1,CA1
313,grey,SUB
314,CA1,CA1
315,VISp,CA1
316,CA1,CA1
317,VISp,VISli
318,grey,grey
319,DG,VISal
320,CA1,grey
321,CA1,VISam
322,DG,DG
323,VISp,CA1
324,VISam,VIS
325,CA3,grey
326,VISal,VISal
327,CA1,VISam
328,DG,DG
329,Eth,VISp
330,CA1,VISam
331,CA1,VISmma
332,LGd,LGd
333,CA1,CA1
334,CA1,VISl
335,LP,LP
336,CA1,CA1
337,CA1,VISam
338,VISam,VISam
339,CA1,CA1
340,DG,DG
341,CA1,CA1
342,CA1,CA1
343,CA1,CA1
344,APN,DG
345,APN,DG
346,VISp,CA1
347,VISp,VISam
348,VISpm,VISmma
349,grey,VISp
350,VISam,ProS
351,VISam,VISam
352,CA3,LP
353,VISam,VISam
354,VISal,VISal
355,CA1,ProS
356,VISp,VISp
357,CA1,VISp
358,CA1,VISp
359,CA3,APN
360,DG,MB
361,VISp,CA1
362,CA1,CA1
363,DG,DG
364,grey,SUB
365,grey,grey
366,CA1,CA1
367,VISrl,CA3
368,LP,VISrl
369,CA1,VIS
370,MGv,VISal
371,VISp,VISp
372,VISli,VISli
373,grey,grey
374,APN,APN
375,grey,grey
376,grey,CA3
377,grey,grey
378,DG,MB
379,grey,CA3
380,VISp,VISam
381,CA1,VISl
382,VISp,VISp
383,MGv,MGv
384,VISam,VISp
385,grey,grey
386,grey,grey
387,CA1,VISp
388,CA1,CA1
389,CA1,Eth
390,VISam,CA1
391,APN,PIL
392,LP,MGv
393,VPM,SUB
394,grey,grey
395,ProS,ProS
396,VISrl,APN
397,CA1,VIS
398,CA1,CA1
399,VISmma,VISp
400,LP,LP
401,APN,VISrl
402,LGd,LGd
403,grey,grey
404,APN,VISpm
405,VISal,VISal
406,CA1,VIS
407,APN,PoT
408,CA1,CA1
409,VISrl,APN
410,VIS,VISam
411,DG,DG
412,LGv,LP
413,CA1,VISam
414,grey,grey
415,VISam,VIS
416,DG,DG
417,VISp,CA1
418,CA1,CA1
419,CA1,CA1
420,VISrl,DG
421,VISal,VISal
422,CA3,LP
423,VISpm,VISrl
424,VISam,VISam
425,LGd,LGd
426,VISp,CA1
427,grey,grey
428,APN,PO
429,CA1,CA1
430,DG,VISal
431,MGd,VISli
432,APN,CA3
433,grey,grey
434,CA1,VISl
435,grey,grey
436,grey,grey
437,VISp,CA1
438,grey,VISrl
439,CA1,VISam
440,CA1,CA1
441,LP,LP
442,CA3,APN
443,CA1,CA1
444,VISmma,VISp
445,VISal,VISrl
446,APN,APN
447,grey,grey
448,LP,VISrl
449,grey,grey
450,CA1,VISp
451,VIS,APN
452,grey,CA3
453,VISp,CA1
454,VISp,VISp
455,VISp,CA1
456,LGd,grey
457,grey,grey
458,ProS,ProS
459,grey,grey
460,ProS,MGd
461,SCig,VISp
462,CA1,TH
463,APN,VISpm
464,grey,grey
465,VISal,VISal
466,grey,TH
467,VISrl,VISpm
468,VISam,CA1
469,CA1,VISl
470,VIS,VISl
471,APN,NOT
472,grey,grey
473,CA1,CA1
474,grey,CA3
475,CA1,VISl
476,grey,grey
477,grey,grey
478,VISp,CA1
479,CA1,CA1
480,CA3,grey
481,CA1,VIS
482,VISal,DG
483,VISp,CA1
484,CA3,CA3
485,CA1,CA1
486,CA3,VISrl
487,DG,DG
488,CA1,LGd
489,CA1,CA1
490,grey,grey
491,VISp,VISam
492,CA1,VISp
493,CA1,CA1
494,LP,CA3
495,DG,VISal
496,DG,DG
497,CA1,CA1
498,APN,VISrl
499,CA1,TH
500,grey,APN
501,CA3,grey
502,CA1,VISp
503,CA1,VISp
504,CA1,CA1
505,APN,VISrl
506,CA1,VISl
507,grey,SUB
508,grey,grey
509,VIS,VPM
510,VISli,VISam
511,CA1,CA1
512,VISmma,VISmma
513,CA1,CA1
514,DG,DG
515,DG,LGv
516,VISmma,CA1
517,CA1,VIS
518,CA1,VISl
519,CA1,VIS
520,CA1,VISam
521,grey,grey
522,LGd,LGd
523,CA1,CA1
524,CA1,CA1
525,CA1,SUB
526,grey,POL
527,MGm,VISli
528,grey,CA1
529,VISp,VISl
530,VISal,VISal
531,CA1,VISp
532,grey,grey
533,VISam,VISam
534,VISp,VISp
535,VISam,VISmma
536,grey,grey
537,grey,grey
538,CA1,CA1
539,VISpm,VISpm
540,VISam,VISam
541,CA1,CA1
542,VISam,VISam
543,VISam,VISl
544,LP,DG
545,LGv,APN
546,VISam,CA1
547,DG,MGv
548,grey,grey
549,CA1,VISp
550,grey,LGd
551,VISpm,grey
552,CA3,CA3
553,LP,LP
554,CA1,CA1
555,VIS,CA1
556,VISal,SGN
557,CA1,CA1
558,VISp,VIS
559,CA1,VISl
560,VISpm,VISpm
561,grey,CA1
562,CA1,CA1
563,VISam,VISam
564,CA1,VISam
565,DG,DG
566,APN,VISpm
567,VISam,TH
568,grey,APN
569,CA1,CA1
570,grey,grey
571,APN,grey
572,grey,grey
573,LP,LP
574,LP,LP
575,ProS,ProS
576,CA1,VISl
577,ProS,ProS
578,VISp,VISmma
579,VISal,SGN
580,VISal,VISal
581,CA1,VISp
582,VISp,VISp
583,CA1,CA1
584,SUB,SUB
585,VISal,VISal
586,MGm,MGd
587,LGd,grey
588,VISp,VISp
589,VISal,VISal
590,CA1,VIS
591,LP,LP
592,VISam,VISl
593,VISam,VIS
594,CA1,VISam
595,APN,NOT
596,CA1,VIS
597,grey,grey
598,PO,MB
599,CA1,CA1
600,VISrl,PIL
601,DG,DG
602,LGd,grey
603,VISam,VISam
604,DG,MGv
605,grey,APN
606,LGd,VISpm
607,CA1,VISp
608,CA1,VISp
609,VISl,VIS
610,ProS,ProS
611,VISrl,CA3
612,LGd,LGd
613,grey,grey
614,CA1,CA1
615,APN,APN
616,MB,PO
617,ProS,VISp
618,CA1,CA1
619,LGd,LGd
620,grey,APN
621,CA3,grey
622,VISp,VISp
623,CA1,CA1
624,CA1,VISp
625,LP,DG
626,APN,VISrl
627,LP,LP
628,APN,VISrl
629,CA1,Eth
630,grey,grey
631,grey,grey
632,VISrl,MB
633,grey,grey
634,VISp,VISp
635,CA1,CA1
636,CA1,CA1
637,LGd,LP
638,CA1,DG
639,VISp,CA1
640,LP,VISal
641,CA1,VISli
642,CA1,CA1
643,APN,CA3
644,LGd,grey
645,SUB,SUB
646,VISli,VISli
647,grey,VISpm
648,CA1,PIL
649,grey,grey
650,APN,VISpm
651,VISp,VISp
652,VISp,VISam
653,CA1,CA1
654,CA1,CA1
655,CA1,VISp
656,VISal,VISal
657,VISam,CA1
658,grey,grey
659,APN,VISpm
660,VISp,SUB
661,CA1,CA1
662,CA1,CA1
663,grey,APN
664,ProS,ProS
665,VISal,VISal
666,grey,grey
667,VISmma,VISmma
668,LP,MGv
669,CA1,grey
670,APN,VISrl
671,grey,grey
672,CA1,VISp
673,grey,LGd
674,DG,DG
675,grey,grey
676,LP,LP
677,VISrl,VISrl
678,MB,VISrl
679,CA1,VISl
680,DG,DG
681,CA1,CA1
682,grey,VISpm
683,VISp,VISp
684,grey,APN
685,VIS,VISl
686,grey,SUB
687,VISal,VISal
688,LP,VISrl
689,CA1,CA1
690,DG,DG
691,CA1,CA1
692,CA1,VIS
693,CA1,CA1
694,LP,LP
695,VISam,VISp
696,CA1,SUB
697,CA1,VIS
698,LP,APN
699,VISrl,VISrl
700,APN,MB
701,VISp,VISp
702,CA3,CA3
703,VISal,VISal
704,grey,grey
705,grey,VISrl
706,CA1,VIS
707,DG,MB
708,CA1,CA1
709,CA1,CA1
710,grey,grey
711,APN,APN
712,CA1,VISp
713,VISrl,LP
714,CA1,CA1
715,VISam,VISam
716,LGd,LGd
717,VISal,VISal
718,CA1,VISam
719,CA1,CA1
720,APN,LGv
721,CA1,VISl
722,grey,APN
723,VISpm,VISrl
724,CA1,VISp
725,grey,grey
726,grey,grey
727,VISp,VISp
728,grey,grey
729,grey,APN
730,CA1,VISam
731,CA1,VISp
732,VISam,MGd
733,CA1,LP
734,VISal,VISal
735,VISl,VIS
736,APN,APN
737,CA1,VIS
738,LP,LP
739,LP,LP
740,CA1,CA1
741,CA3,grey
742,LGd,LGd
743,APN,CA3
744,VISp,VISp
745,VISam,VISam
746,DG,LP
747,CA1,ProS
748,POL,VISrl
749,grey,VISrl
750,VIS,CA1
