,embeddings
0,"[ 1.2180476   1.7781739  -0.9141798  -0.7420308   0.7733368   0.6025154
 -0.3566118  -0.904614   -0.68510467 -0.7695339 ]"
1,"[-0.9779994  -0.9992114   1.4682406   1.2297785  -0.946331   -0.89157575
 -0.13097322  1.2916546  -0.0153064  -0.02827656]"
2,"[-0.9858078  -0.9010638   1.4745666   1.1016302  -1.0009863  -0.9971283
 -0.09516951  1.3496182   0.03389756  0.0204433 ]"
3,"[ 1.3913311   1.6468558  -0.980851   -0.75035536  0.7791533   0.535025
 -0.28731704 -0.9316877  -0.6979327  -0.70422167]"
4,"[ 1.2245106   1.8260854  -0.9050649  -0.75120664  0.7487031   0.55566067
 -0.4400817  -0.8632707  -0.71801907 -0.67731655]"
5,"[ 1.0778012   1.4809816  -0.83260155 -0.82786125  0.95467955  0.9541208
 -0.21183363 -1.0506115  -0.99930614 -0.54536927]"
6,"[-0.9928278  -0.945473    1.4115897   1.1714616  -0.9890305  -0.96681833
 -0.10247339  1.352848    0.02875933  0.03196413]"
7,"[ 1.1674193   1.827661   -0.93889755 -0.7765868   0.7716668   0.59337956
 -0.42907152 -0.8968258  -0.71707565 -0.6016699 ]"
8,"[ 1.1777691   1.6977694  -1.0218607  -0.90578705  0.76862425  0.74991673
 -0.5752847  -0.94782877 -0.610179   -0.33313832]"
9,"[ 1.1880727   1.7700702  -0.86736274 -0.7020663   0.7721733   0.68092996
 -0.40792352 -0.8831953  -0.7485801  -0.80211926]"
10,"[ 1.2407486   1.7958828  -0.93981296 -0.62223697  0.7835951   0.5170917
 -0.35938257 -0.86416364 -0.7330707  -0.818651  ]"
11,"[ 1.1943429   1.8514645  -0.89779186 -0.72059965  0.74493533  0.5351717
 -0.357299   -0.85442024 -0.71197665 -0.78382707]"
12,"[ 1.1113671   1.9231355  -0.96092325 -0.5454471   0.70871687  0.5095782
 -0.312882   -0.8806374  -0.8233512  -0.7295567 ]"
13,"[ 1.1633238   1.7974901  -0.8985044  -0.7022407   0.8262625   0.6119773
 -0.45090002 -0.8640809  -0.67860216 -0.80472517]"
14,"[ 0.96644056  1.9256967  -0.8514394  -0.752153    0.793172    0.6817566
 -0.65260077 -0.8542758  -0.74639785 -0.5101992 ]"
15,"[ 1.3043144   1.6393087  -0.93765604 -0.8210898   0.8320277   0.66688746
 -0.44962907 -0.93166465 -0.6874372  -0.6150611 ]"
16,"[ 1.0772222   1.8869203  -0.87321246 -0.7632547   0.81555504  0.5807555
 -0.4732226  -0.8582494  -0.6681529  -0.72436106]"
17,"[ 1.2829226   1.6557549  -1.0138144  -0.8222415   0.78735685  0.64283305
 -0.26115084 -0.99384123 -0.67884034 -0.5989786 ]"
18,"[-1.0000333  -0.9612539   1.443383    1.1983674  -0.9728392  -0.9196171
 -0.11738287  1.3230932   0.00306856  0.00321418]"
19,"[ 1.0913149   1.8701658  -0.8887151  -0.7750728   0.78591186  0.62970465
 -0.5215953  -0.8664984  -0.7164352  -0.60878026]"
20,"[-0.6011419  -1.5263224   1.5867777   1.2781272  -0.6578192  -0.69531274
 -0.212339    1.071732   -0.02720176 -0.21650006]"
21,"[ 1.1924372   1.8376096  -0.87086916 -0.6980791   0.7654128   0.580186
 -0.49950853 -0.8449882  -0.7144242  -0.74777585]"
22,"[-0.84999675 -1.1798164   1.4280105   1.3767557  -0.8139772  -0.7762337
 -0.1765249   1.2677817  -0.06998768 -0.20601138]"
23,"[ 1.3215919   1.7723141  -0.9586211  -0.7323237   0.66142946  0.56497866
 -0.32855758 -0.9030094  -0.7041288  -0.6936732 ]"
24,"[ 1.1514393   1.7909977  -0.9006596  -0.724058    0.7976902   0.6751697
 -0.46982545 -0.8901394  -0.75060445 -0.6800095 ]"
25,"[ 1.1713616   1.5044312  -0.9150879  -0.7639484   1.0376376   0.8649524
 -0.73391205 -0.827477   -0.6822228  -0.65573424]"
26,"[ 1.0140047   1.9145262  -0.8555216  -0.7429587   0.7680326   0.6763285
 -0.5577986  -0.84995526 -0.74555695 -0.62110054]"
27,"[ 0.9913164   1.8600945  -0.9231462  -0.81006277  0.80363464  0.738777
 -0.5940815  -0.88537544 -0.69765526 -0.4835015 ]"
28,"[ 1.1406667   1.8009974  -0.8837671  -0.76523834  0.753057    0.7166258
 -0.47295728 -0.89827096 -0.76566035 -0.625453  ]"
29,"[ 1.3321278   1.6057907  -0.9912147  -0.80486745  0.73588204  0.72137046
 -0.3466458  -0.9912293  -0.7988728  -0.462341  ]"
30,"[ 1.2681137   1.8585343  -0.9657177  -0.6236124   0.61524427  0.5381615
 -0.36802626 -0.855044   -0.78149027 -0.6861637 ]"
31,"[ 1.2160165   1.8401763  -0.9256328  -0.710928    0.7782361   0.4890883
 -0.38693687 -0.84310997 -0.6730745  -0.7838355 ]"
32,"[ 1.2151562   1.6018792  -0.96275824 -0.8453689   0.89180714  0.7809791
 -0.51743925 -0.9492452  -0.6501872  -0.564823  ]"
33,"[ 1.114853    1.8850877  -0.8535772  -0.7149453   0.7859307   0.57937473
 -0.5164202  -0.842775   -0.7078223  -0.72970665]"
34,"[-0.99803746 -0.8873036   1.4344343   1.111615   -1.0086104  -1.0011419
 -0.09150668  1.375961    0.0351099   0.02947944]"
35,"[ 1.1147329   1.9342554  -0.96234256 -0.54670334  0.6585133   0.5414762
 -0.32790568 -0.8865456  -0.82262444 -0.70285547]"
36,"[ 1.3007874   1.7158442  -0.9482139  -0.7505402   0.7784614   0.5745572
 -0.33301345 -0.92621464 -0.7134986  -0.6981696 ]"
37,"[ 1.2905233   1.7828388  -0.938669   -0.7693111   0.6824742   0.5717328
 -0.34686556 -0.9202685  -0.74206465 -0.61039066]"
38,"[ 1.1772316   1.7955347  -0.85401946 -0.71217567  0.80707425  0.63028055
 -0.47146437 -0.8566744  -0.7534315  -0.7623558 ]"
39,"[ 0.9890035   1.9080865  -0.8505854  -0.7569148   0.7971631   0.68646294
 -0.5912209  -0.8636434  -0.7413817  -0.5769689 ]"
40,"[-0.9995778  -0.9320006   1.4697512   1.1401418  -0.9920984  -0.9581113
 -0.10513718  1.325709    0.02292882  0.02839446]"
41,"[ 1.1115866   1.8958198  -0.8824027  -0.7596891   0.7654699   0.57996625
 -0.5517702  -0.8632278  -0.68709797 -0.6086544 ]"
42,"[ 1.0893594   1.756002   -0.94768006 -0.75318235  0.94561493  0.650587
 -0.72047913 -0.85114765 -0.68456465 -0.48450935]"
43,"[ 1.3410834   1.7354608  -0.91621196 -0.6396217   0.72524077  0.54701984
 -0.35830876 -0.8763736  -0.7273775  -0.83091074]"
