,embeddings
0,"[-0.07777244 -0.22153763  0.8058917  -1.1256495  -1.2701572  -0.11451204
  0.2784794   1.0579016  -1.0774422   1.7447994   1.2180476   1.7781739
 -0.9141798  -0.7420308   0.7733368   0.6025154  -0.3566118  -0.904614
 -0.68510467 -0.7695339 ]"
1,"[ 0.03354125 -0.19540215  0.3062872  -0.9039902  -1.2383342   1.0121074
  0.21794757 -0.01365474 -1.2121845   1.9936826  -0.9779994  -0.9992114
  1.4682406   1.2297785  -0.946331   -0.89157575 -0.13097322  1.2916546
 -0.0153064  -0.02827656]"
2,"[-0.04422218 -0.1795425   0.9204821  -0.80070335 -1.596655    1.4470075
 -0.23795278  0.66024196 -1.1630994   0.994443   -0.9858078  -0.9010638
  1.4745666   1.1016302  -1.0009863  -0.9971283  -0.09516951  1.3496182
  0.03389756  0.0204433 ]"
3,"[-0.6336021  -0.30325416  1.1156956  -0.8115105  -0.9536357  -0.9934653
 -0.11601357  2.0519512  -0.04932381  0.6931583   1.3913311   1.6468558
 -0.980851   -0.75035536  0.7791533   0.535025   -0.28731704 -0.9316877
 -0.6979327  -0.70422167]"
4,"[-0.18487006 -0.22409438  1.029981   -0.96805835 -1.2156835  -0.41124415
  0.17018723  1.3584079  -1.0612878   1.5066622   1.2245106   1.8260854
 -0.9050649  -0.75120664  0.7487031   0.55566067 -0.4400817  -0.8632707
 -0.71801907 -0.67731655]"
5,"[-0.20775379 -0.22956426  1.1312858  -0.9527256  -1.1877389  -0.46848354
  0.15998746  1.3094499  -1.0513825   1.4969251   1.0778012   1.4809816
 -0.83260155 -0.82786125  0.95467955  0.9541208  -0.21183363 -1.0506115
 -0.99930614 -0.54536927]"
6,"[-0.16922799 -0.2424671   1.0157444  -0.9814724  -1.2754043  -0.05578084
  0.16597782  1.069628   -1.1784651   1.651468   -0.9928278  -0.945473
  1.4115897   1.1714616  -0.9890305  -0.96681833 -0.10247339  1.352848
  0.02875933  0.03196413]"
7,"[-0.33462608  0.36192542 -1.0844485  -0.4076442   1.8172339  -0.22580053
 -0.19904156 -1.0293642   1.6360915  -0.5343257   1.1674193   1.827661
 -0.93889755 -0.7765868   0.7716668   0.59337956 -0.42907152 -0.8968258
 -0.71707565 -0.6016699 ]"
8,"[-0.2876801   0.2990397  -0.992035   -0.32568294  1.5474776  -0.38722983
 -0.16454272 -0.9762903   1.9443657  -0.65742207  1.1777691   1.6977694
 -1.0218607  -0.90578705  0.76862425  0.74991673 -0.5752847  -0.94782877
 -0.610179   -0.33313832]"
9,"[-0.32431015  0.31490606 -1.0002042  -0.35456422  2.2510927  -0.22561306
 -0.15047082 -0.9862248   1.0870867  -0.6116984   1.1880727   1.7700702
 -0.86736274 -0.7020663   0.7721733   0.68092996 -0.40792352 -0.8831953
 -0.7485801  -0.80211926]"
10,"[-0.2215376  -0.22116548  1.0493096  -0.941708   -1.193027   -0.5432133
  0.14686626  1.3145096  -0.97177327  1.5817391   1.2407486   1.7958828
 -0.93981296 -0.62223697  0.7835951   0.5170917  -0.35938257 -0.86416364
 -0.7330707  -0.818651  ]"
11,"[-0.15164639 -0.22721092  0.97363955 -1.0236787  -1.2335582  -0.26389483
  0.21042033  1.1918712  -1.1047246   1.6287819   1.1943429   1.8514645
 -0.89779186 -0.72059965  0.74493533  0.5351717  -0.357299   -0.85442024
 -0.71197665 -0.78382707]"
12,"[-0.10112569 -0.22089529  0.6191614  -1.0487297  -1.1835263  -0.47180077
  0.3162599   0.9333084  -0.8693661   2.0267143   1.1113671   1.9231355
 -0.96092325 -0.5454471   0.70871687  0.5095782  -0.312882   -0.8806374
 -0.8233512  -0.7295567 ]"
13,"[-0.16769265 -0.23488083  1.0449942  -0.90562224 -1.3358359   0.08708758
  0.09364109  1.0055168  -1.2266904   1.6394821   1.1633238   1.7974901
 -0.8985044  -0.7022407   0.8262625   0.6119773  -0.45090002 -0.8640809
 -0.67860216 -0.80472517]"
14,"[-0.28218776  0.3366306  -1.0394759  -0.40431407  1.525435   -0.34632325
 -0.1462839  -0.9985177   1.9384068  -0.5833699   0.96644056  1.9256967
 -0.8514394  -0.752153    0.793172    0.6817566  -0.65260077 -0.8542758
 -0.74639785 -0.5101992 ]"
15,"[-0.19590442 -0.23136476  1.045937   -0.97369176 -1.2246296  -0.28739136
  0.17156257  1.1878188  -1.1089795   1.6166439   1.3043144   1.6393087
 -0.93765604 -0.8210898   0.8320277   0.66688746 -0.44962907 -0.93166465
 -0.6874372  -0.6150611 ]"
