,embeddings
0,"[-0.07777244 -0.22153763  0.8058917  -1.1256495  -1.2701572  -0.11451204
  0.2784794   1.0579016  -1.0774422   1.7447994 ]"
1,"[ 0.03354125 -0.19540215  0.3062872  -0.9039902  -1.2383342   1.0121074
  0.21794757 -0.01365474 -1.2121845   1.9936826 ]"
2,"[-0.04422218 -0.1795425   0.9204821  -0.80070335 -1.596655    1.4470075
 -0.23795278  0.66024196 -1.1630994   0.994443  ]"
3,"[-0.6336021  -0.30325416  1.1156956  -0.8115105  -0.9536357  -0.9934653
 -0.11601357  2.0519512  -0.04932381  0.6931583 ]"
4,"[-0.18487006 -0.22409438  1.029981   -0.96805835 -1.2156835  -0.41124415
  0.17018723  1.3584079  -1.0612878   1.5066622 ]"
5,"[-0.20775379 -0.22956426  1.1312858  -0.9527256  -1.1877389  -0.46848354
  0.15998746  1.3094499  -1.0513825   1.4969251 ]"
6,"[-0.16922799 -0.2424671   1.0157444  -0.9814724  -1.2754043  -0.05578084
  0.16597782  1.069628   -1.1784651   1.651468  ]"
7,"[-0.33462608  0.36192542 -1.0844485  -0.4076442   1.8172339  -0.22580053
 -0.19904156 -1.0293642   1.6360915  -0.5343257 ]"
8,"[-0.2876801   0.2990397  -0.992035   -0.32568294  1.5474776  -0.38722983
 -0.16454272 -0.9762903   1.9443657  -0.65742207]"
9,"[-0.32431015  0.31490606 -1.0002042  -0.35456422  2.2510927  -0.22561306
 -0.15047082 -0.9862248   1.0870867  -0.6116984 ]"
10,"[-0.2215376  -0.22116548  1.0493096  -0.941708   -1.193027   -0.5432133
  0.14686626  1.3145096  -0.97177327  1.5817391 ]"
11,"[-0.15164639 -0.22721092  0.97363955 -1.0236787  -1.2335582  -0.26389483
  0.21042033  1.1918712  -1.1047246   1.6287819 ]"
12,"[-0.10112569 -0.22089529  0.6191614  -1.0487297  -1.1835263  -0.47180077
  0.3162599   0.9333084  -0.8693661   2.0267143 ]"
13,"[-0.16769265 -0.23488083  1.0449942  -0.90562224 -1.3358359   0.08708758
  0.09364109  1.0055168  -1.2266904   1.6394821 ]"
14,"[-0.28218776  0.3366306  -1.0394759  -0.40431407  1.525435   -0.34632325
 -0.1462839  -0.9985177   1.9384068  -0.5833699 ]"
15,"[-0.19590442 -0.23136476  1.045937   -0.97369176 -1.2246296  -0.28739136
  0.17156257  1.1878188  -1.1089795   1.6166439 ]"
16,"[-0.1818207  -0.23815556  1.024436   -0.92696834 -1.2752099  -0.13156311
  0.13590007  1.0823389  -1.1653063   1.6763498 ]"
17,"[-0.42052096 -0.19234392  1.3440726  -0.77226746 -1.1069001  -0.9448611
 -0.19892149  1.9810829  -0.20015115  0.51081055]"
18,"[-0.3671446  -0.23932844  1.3680131  -0.46250597 -1.724465    0.6081634
 -0.58898985  1.4386998  -0.70962614  0.67718273]"
19,"[-0.16046871 -0.22388682  0.8575774  -0.97657347 -1.2660999  -0.10288474
  0.17555614  0.8918868  -1.0927436   1.8976367 ]"
20,"[-0.1609717  -0.23631509  0.96418166 -0.9750846  -1.2597955  -0.18689853
  0.18409222  1.1346074  -1.1374009   1.6735849 ]"
21,"[-0.2531763  -0.21627378  1.203275   -0.91828525 -1.1088133  -0.89189917
  0.10676432  1.5649579  -0.7384501   1.2519013 ]"
22,"[-0.5002889   0.33174378 -1.0878708  -0.48379314  1.6384338   1.0794497
 -0.4527799  -1.1363845   1.224745   -0.61325514]"
23,"[-0.20574816 -0.22605224  1.0507455  -0.9533756  -1.1975039  -0.42619595
  0.16670018  1.2727643  -1.0627289   1.5813944 ]"
24,"[-0.17293668 -0.23743877  1.0245217  -0.9568301  -1.2606117  -0.17471957
  0.16683911  1.097962   -1.1511976   1.6644115 ]"
25,"[-0.05955439 -0.13638723  0.23388459 -0.28967145 -1.1084337   2.0916607
 -0.2805845  -0.6633275  -1.0544572   1.2668699 ]"
26,"[-0.23719591 -0.2162058   1.1204184  -0.949206   -1.1203414  -0.6601742
  0.16127986  1.4637694  -0.96127063  1.3989266 ]"
27,"[-0.30222452 -0.17773987  1.3199286  -0.7792816  -1.1493907  -0.94692814
 -0.19618735  2.0473866  -0.08458033  0.26901695]"
28,"[-0.18235895 -0.22959648  1.071509   -0.9696473  -1.25137    -0.2640201
  0.15124871  1.3005892  -1.1181359   1.4917818 ]"
29,"[-0.09685499 -0.23916134  0.8946528  -1.0206836  -1.316401    0.12245676
  0.200566    0.9842695  -1.2175756   1.6887307 ]"
30,"[-0.32611188  0.25550103 -0.98498434 -0.23296708  1.909571   -0.3453362
 -0.14111948 -0.96148753  1.5864762  -0.7595419 ]"
31,"[-0.16721418 -0.2222409   0.8559363  -0.8937271  -1.359517    0.27995545
  0.06981194  0.7949906  -1.1991358   1.8411411 ]"
32,"[ 0.04422339 -0.22047395  0.25448304 -1.210167   -1.4277254   0.53056747
  0.26066726  0.5282711  -0.79135215  2.0315049 ]"
33,"[-0.14561835 -0.24095461  0.9468046  -1.0046209  -1.254631   -0.12983397
  0.21271701  1.0457637  -1.1505268   1.7208998 ]"
34,"[-0.24574569 -0.21831745  1.2079915  -0.9423089  -1.1238126  -0.83482087
  0.10345293  1.5281475  -0.76220983  1.2876242 ]"
35,"[-0.14669918 -0.23279138  1.162152   -0.9933729  -1.3595278  -0.18172584
  0.07148383  1.4687747  -1.0168089   1.228516  ]"
36,"[-0.14127955 -0.19952063  0.81702137 -0.45619696 -1.457128    1.4450052
 -0.2553032   0.21925701 -1.3533485   1.3814933 ]"
37,"[-0.08248398 -0.23344533  0.7906597  -0.99658126 -1.3179927   0.34589607
  0.19374646  0.69673634 -1.2407607   1.8442258 ]"
38,"[-0.1735947  -0.23445955  1.0992602  -0.94092375 -1.2422477  -0.3370489
  0.14488329  1.2877805  -1.1069076   1.5032587 ]"
39,"[-0.3556413   0.34474292 -1.0803274  -0.39249367  2.0603664  -0.22094087
 -0.18534617 -1.0282289   1.3454524  -0.48758352]"
40,"[-0.16961998 -0.23612927  1.1361372  -0.92315006 -1.3510289   0.1571094
  0.06326196  1.129255   -1.2491021   1.4432672 ]"
41,"[-0.1481927  -0.2428562   0.9948572  -0.9245554  -1.344667    0.18723336
  0.11412276  0.9849341  -1.2554888   1.634613  ]"
42,"[-0.34430784  0.3002378  -0.99262816 -0.31163624  2.23986    -0.23481621
 -0.1384067  -0.96435195  1.1141362  -0.6680869 ]"
43,"[-0.48693258 -0.2591944   1.0747974  -0.8761891  -1.0317477  -0.9375458
  0.05130472  1.8420004  -0.47543874  1.0989466 ]"
44,"[-0.08354557 -0.23127078  0.7889739  -1.0650434  -1.274466    0.09769313
  0.25790167  0.86121035 -1.1807896   1.8293353 ]"
45,"[-0.3468238   0.36114958 -1.080245   -0.3852966   1.916965   -0.2390539
 -0.18883622 -1.025794    1.5250057  -0.5370709 ]"
46,"[-1.6222775e-01 -2.4064761e-01  1.0596509e+00 -9.3204886e-01
 -1.3144950e+00  6.4081739e-04  1.2057254e-01  1.1062975e+00
 -1.2139074e+00  1.5761651e+00]"
47,"[-0.27221316 -0.20650117  1.062557   -0.9995105  -1.1486069  -0.80151385
  0.15724719  1.2268237  -0.6885006   1.6702185 ]"
48,"[-0.37140036 -0.25351575  1.0118843  -0.90952146 -1.0546404  -0.9358537
  0.1538494   1.6685348  -0.63251764  1.3231806 ]"
49,"[-0.02064976 -0.18358585  0.29019797 -0.8623466  -1.4191333   1.0179468
  0.03768376  0.03567094 -0.9438073   2.0480218 ]"
50,"[-0.10258784 -0.20892201  0.97150546 -1.1056739  -1.810099    0.52825534
 -0.23426677  1.2577789  -0.46630913  1.1703182 ]"
51,"[-0.12333022 -0.24275991  0.91490144 -0.9844243  -1.29849     0.11106512
  0.18281311  0.89363986 -1.2166609   1.7632451 ]"
